id,itemTime,trial,RT,number_chosen,number_not_chosen,quantifier,clicked_left,language,comments,engagement,difficulty
debugJB5XOD:debugPC3T52,1474876178895,1,1266,367,144,About half,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876179353,2,456,367,378,About half,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876179731,3,377,380,367,About half,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876180100,4,368,380,385,About half,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876180386,5,285,377,380,About half,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876180642,6,256,377,359,About half,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876180897,7,253,377,300,About half,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876181164,8,264,377,228,About half,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876181429,9,265,380,377,About half,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876181705,10,275,380,177,About half,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876181993,11,286,380,168,About half,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876182155,12,161,380,389,About half,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876182308,13,151,380,335,About half,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876182452,14,143,380,396,About half,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876182595,15,142,380,376,About half,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876182738,16,143,361,380,About half,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876182881,17,142,361,353,About half,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876183014,18,132,361,342,About half,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876183157,19,142,369,361,About half,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876183331,20,174,369,286,About half,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876183556,21,225,365,369,About half,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876183720,22,164,374,365,About half,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876183863,23,143,374,387,About half,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876184006,24,141,374,49,About half,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876184138,25,131,382,374,About half,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876184292,26,152,9,382,About half,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876184538,27,244,110,9,About half,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876184701,28,163,110,97,About half,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876184855,29,153,110,327,About half,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876184977,30,121,110,99,About half,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876185131,31,153,110,110,About half,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876185284,32,151,110,23,About half,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876185549,33,264,110,132,About half,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876185724,34,174,117,110,About half,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876185867,35,143,103,117,About half,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876186010,36,143,92,103,About half,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876186153,37,143,92,273,About half,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876186285,38,130,86,92,About half,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876186419,39,133,90,86,About half,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876186562,40,143,90,83,About half,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876186695,41,133,90,292,About half,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876186838,42,143,90,81,About half,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876187012,43,174,98,90,About half,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876187206,44,193,98,109,About half,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876187462,45,255,107,98,About half,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876187636,46,174,102,107,About half,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876187780,47,144,82,102,About half,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876187932,48,152,82,72,About half,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876188085,49,153,82,74,About half,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876188239,50,153,428,82,About half,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876189722,1,274,112,384,Some,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876189885,2,163,112,110,Some,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876190038,3,153,404,112,Some,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876190181,4,143,404,405,Some,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876190324,5,142,404,385,Some,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876190478,6,153,404,400,Some,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876190622,7,143,404,107,Some,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876190919,8,297,404,394,Some,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876191081,9,161,155,404,Some,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876191234,10,152,155,168,Some,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876191378,11,143,155,140,Some,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876191532,12,154,149,155,Some,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876191695,13,163,148,149,Some,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876191972,14,276,148,160,Some,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876192145,15,172,151,148,Some,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876192309,16,162,151,136,Some,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876192462,17,152,171,151,Some,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876192626,18,164,167,171,Some,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876192963,19,337,152,167,Some,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876193149,20,186,36,152,Some,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876193310,21,160,235,36,Some,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876193464,22,153,235,232,Some,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876193618,23,154,227,235,Some,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876193760,24,141,227,256,Some,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876194087,25,327,227,53,Some,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876194281,26,193,227,159,Some,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876194435,27,153,335,227,Some,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876194598,28,162,335,14,Some,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876194742,29,143,251,335,Some,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876194896,30,154,251,260,Some,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876195059,31,163,242,251,Some,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876195365,32,305,223,242,Some,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876195549,33,183,336,223,Some,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876195703,34,153,336,332,Some,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876195867,35,163,336,11,Some,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876196368,36,500,336,316,Some,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876196541,37,172,328,336,Some,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876196726,38,183,329,328,Some,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876196868,39,142,273,329,Some,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876197103,40,234,190,273,Some,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876197278,41,174,198,190,Some,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876197441,42,163,198,262,Some,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876197605,43,164,198,123,Some,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876197860,44,255,214,198,Some,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876198034,45,173,214,240,Some,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876198208,46,173,214,286,Some,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876198372,47,163,214,225,Some,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876198515,48,143,214,219,Some,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876198688,49,172,224,214,Some,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876198872,50,184,205,224,Some,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876200202,1,365,192,43,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876200538,2,336,186,192,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876200712,3,173,42,186,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876201225,4,512,23,42,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876201408,5,182,23,14,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876201561,6,153,204,23,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876201796,7,235,343,204,Few,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876201991,8,194,343,352,Few,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876202175,9,183,281,343,Few,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876202420,10,245,281,274,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876202686,11,265,193,281,Few,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876203177,12,490,117,193,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876203821,13,643,117,226,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876203985,14,164,124,117,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876204599,15,614,124,134,Few,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876204761,16,162,124,123,Few,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876205089,17,327,108,124,Few,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876205263,18,174,108,115,Few,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876205447,19,184,108,108,Few,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876205620,20,173,108,340,Few,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876205784,21,163,105,108,Few,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876206193,22,408,428,105,Few,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876206347,23,153,53,428,Few,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876206674,24,327,53,105,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876206848,25,174,69,53,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876207226,26,378,69,80,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876207379,27,152,81,69,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876209159,28,1779,64,81,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876209373,29,213,32,64,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876209556,30,183,37,32,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876209721,31,164,17,37,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876209884,32,162,17,33,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876210048,33,164,430,17,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876210201,34,153,273,430,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876210344,35,143,273,127,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876210497,36,152,273,256,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876210650,37,152,215,273,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876210794,38,143,218,215,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876210948,39,154,218,203,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876211091,40,143,230,218,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876211244,41,153,230,305,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876211397,42,153,241,230,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876211550,43,153,242,241,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876211714,44,164,94,242,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876211846,45,131,109,94,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876212011,46,164,109,164,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876212164,47,153,109,367,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876212317,48,153,109,186,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876212481,49,163,430,109,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876212624,50,142,430,421,Few,left,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876213831,1,296,66,414,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876214004,2,172,277,66,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876214157,3,152,312,277,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876214310,4,152,335,312,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876214453,5,142,340,335,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876214587,6,133,340,151,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876214729,7,142,255,340,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876214884,8,154,273,255,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876215037,9,153,274,273,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876215190,10,153,289,274,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876215344,11,154,289,289,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876215497,12,153,287,289,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876215660,13,163,287,87,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876215824,14,163,287,258,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876215977,15,152,305,287,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876216162,16,183,305,131,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876216336,17,174,308,305,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876216509,18,173,301,308,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876216693,19,183,301,307,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876216888,20,195,301,287,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876217062,21,173,301,301,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876217224,22,161,301,309,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876217408,23,183,313,301,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876217603,24,194,403,313,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876217777,25,174,403,391,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876217971,26,194,403,417,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876218156,27,185,355,403,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876218329,28,172,340,355,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876218514,29,184,340,169,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876218707,30,193,340,322,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876218892,31,184,378,340,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876219055,32,163,378,378,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876219218,33,162,389,378,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876219382,34,164,155,389,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876219545,35,162,155,392,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876219863,36,317,155,171,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876220037,37,174,170,155,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876220210,38,173,170,155,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876220374,39,164,170,153,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876220537,40,163,170,174,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876220701,41,164,170,322,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876220875,42,174,169,170,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876221038,43,162,150,169,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876221222,44,183,135,150,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876221385,45,162,135,172,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876221560,46,174,135,153,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876221713,47,153,135,132,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876221876,48,162,135,126,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876222050,49,174,135,146,Almost all,right,german,asdf,9,5
debugJB5XOD:debugPC3T52,1474876222224,50,173,135,122,Almost all,right,german,asdf,9,5
